ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Character,CharacterVariants,Pinyin,WordFamily,FormVariants
OldChinese-45-Topullupuprootbeuprooted-1,bá,OldChinese,45-Topullupuprootbeuprooted,*brât,brât,,,Schuessler2007,45,,,,拔,,bá,bá1,
LateHanChinese-45-Topullupuprootbeuprooted-1,bá,LateHanChinese,45-Topullupuprootbeuprooted,bat,bat,,,Schuessler2007,45,,,,拔,,bá,bá1,
MiddleChinese-45-Topullupuprootbeuprooted-1,bá,MiddleChinese,45-Topullupuprootbeuprooted,bwăt,bwăt,,,Schuessler2007,45,,,,拔,,bá,bá1,
OldChinese-46-Rootsofgrass-1,bá2,OldChinese,46-Rootsofgrass,*pât,pât,,,Schuessler2007,46,,,,茇,,bá,bá2,
LateHanChinese-46-Rootsofgrass-1,bá2,LateHanChinese,46-Rootsofgrass,pɑt,pɑt,,,Schuessler2007,46,,,,茇,,bá,bá2,
MiddleChinese-46-Rootsofgrass-1,bá2,MiddleChinese,46-Rootsofgrass,puât,puât,,,Schuessler2007,46,,,,茇,,bá,bá2,
OldChinese-47-Tocampongrassland-1,bá3,OldChinese,47-Tocampongrassland,*bât,bât,,,Schuessler2007,47,,,,茇,,bá,bá3,
LateHanChinese-47-Tocampongrassland-1,bá3,LateHanChinese,47-Tocampongrassland,bɑt,bɑt,,,Schuessler2007,47,,,,茇,,bá,bá3,
MiddleChinese-47-Tocampongrassland-1,bá3,MiddleChinese,47-Tocampongrassland,buât,buât,,,Schuessler2007,47,,,,茇,,bá,bá3,
OldChinese-48-Totrampleonwithfeettrudge-1,bá3a,OldChinese,48-Totrampleonwithfeettrudge,*bât,bât,,,Schuessler2007,48,,,,跋,,bá3a,bá3a,
LateHanChinese-48-Totrampleonwithfeettrudge-1,bá3a,LateHanChinese,48-Totrampleonwithfeettrudge,bɑt,bɑt,,,Schuessler2007,48,,,,跋,,bá3a,bá3a,
MiddleChinese-48-Totrampleonwithfeettrudge-1,bá3a,MiddleChinese,48-Totrampleonwithfeettrudge,buât,buât,,,Schuessler2007,48,,,,跋,,bá3a,bá3a,
OldChinese-52-Ahandful-1,bǎ,OldChinese,52-Ahandful,*prâɁ,prâɁ,,,Schuessler2007,52,,,,把,,bǎ,bǎ,
LateHanChinese-52-Ahandful-1,bǎ,LateHanChinese,52-Ahandful,paᴮ,paᴮ,,,Schuessler2007,52,,,,把,,bǎ,bǎ,
MiddleChinese-52-Ahandful-1,bǎ,MiddleChinese,52-Ahandful,paᴮ,paᴮ,,,Schuessler2007,52,,,,把,,bǎ,bǎ,
MiddleChinese-54-Flatvalley-1,bà1,MiddleChinese,54-Flatvalley,paᶜ,paᶜ,,,Schuessler2007,54,,,,莇,,bà,bà1,
OldChinese-55-Tostopcease-1,bà2,OldChinese,55-Tostopcease,*brêɁ ?,brêɁ_?,,,Schuessler2007,55,,,,罷,,bà,bà2,
LateHanChinese-55-Tostopcease-1,bà2,LateHanChinese,55-Tostopcease,baiᴮ,baiᴮ,,,Schuessler2007,55,,,,罷,,bà,bà2,
MiddleChinese-55-Tostopcease-1,bà2,MiddleChinese,55-Tostopcease,baiᴮ,baiᴮ,,,Schuessler2007,55,,,,罷,,bà,bà2,
OldChinese-57-Bewhite-1,bái1,OldChinese,57-Bewhite,*brâk,brâk,,,Schuessler2007,57,,,,白,,bái,bái1,
LateHanChinese-57-Bewhite-1,bái1,LateHanChinese,57-Bewhite,bak,bak,,,Schuessler2007,57,,,,白,,bái,bái1,
MiddleChinese-57-Bewhite-1,bái1,MiddleChinese,57-Bewhite,bɐk,bɐk,,,Schuessler2007,57,,,,白,,bái,bái1,
OldChinese-58-Hundred-1,bǎi1,OldChinese,58-Hundred,*prâk,prâk,,,Schuessler2007,58,,,,百,,bǎi,bǎi1,
LateHanChinese-58-Hundred-1,bǎi1,LateHanChinese,58-Hundred,pak,pak,,,Schuessler2007,58,,,,百,,bǎi,bǎi1,
MiddleChinese-58-Hundred-1,bǎi1,MiddleChinese,58-Hundred,pɐk,pɐk,,,Schuessler2007,58,,,,百,,bǎi,bǎi1,
OldChinese-59-Toopen-1,bǎi2,OldChinese,59-Toopen,*prêɁ,prêɁ,,,Schuessler2007,59,,,,捭,,bǎi,bǎi2,
LateHanChinese-59-Toopen-1,bǎi2,LateHanChinese,59-Toopen,pɛᴮ,pɛᴮ,,,Schuessler2007,59,,,,捭,,bǎi,bǎi2,
MiddleChinese-59-Toopen-1,bǎi2,MiddleChinese,59-Toopen,paiᴮ,paiᴮ,,,Schuessler2007,59,,,,捭,,bǎi,bǎi2,
OldChinese-60-Toruindestroy-1,bài1,OldChinese,60-Toruindestroy,*prâts,prâts,,,Schuessler2007,60,,,,敗,,bài,bài1,
LateHanChinese-60-Toruindestroy-1,bài1,LateHanChinese,60-Toruindestroy,pas,pas,,,Schuessler2007,60,,,,敗,,bài,bài1,
MiddleChinese-60-Toruindestroy-1,bài1,MiddleChinese,60-Toruindestroy,paiᶜ,paiᶜ,,,Schuessler2007,60,,,,敗,,bài,bài1,
OldChinese-61-Togotoruindefeat-1,bài,OldChinese,61-Togotoruindefeat,*brâts,brâts,,,Schuessler2007,61,,,,敗,,bài,bài1,
LateHanChinese-61-Togotoruindefeat-1,bài,LateHanChinese,61-Togotoruindefeat,bas,bas,,,Schuessler2007,61,,,,敗,,bài,bài1,
MiddleChinese-61-Togotoruindefeat-1,bài,MiddleChinese,61-Togotoruindefeat,baiᶜ,baiᶜ,,,Schuessler2007,61,,,,敗,,bài,bài1,
OldChinese-62-Tobendorputtogether-1,bài2,OldChinese,62-Tobendorputtogether,*prâts,prâts,,,Schuessler2007,62,,,,拜,,bài,bài2,
LateHanChinese-62-Tobendorputtogether-1,bài2,LateHanChinese,62-Tobendorputtogether,pas,pas,,,Schuessler2007,62,,,,拜,,bài,bài2,
MiddleChinese-62-Tobendorputtogether-1,bài2,MiddleChinese,62-Tobendorputtogether,păiᶜ,păiᶜ,,,Schuessler2007,62,,,,拜,,bài,bài2,
OldChinese-63-Finerice-1,bài3,OldChinese,63-Finerice,*brêh,brêh,,,Schuessler2007,63,,,,粺,,bài,bài3,
LateHanChinese-63-Finerice-1,bài3,LateHanChinese,63-Finerice,bɛᶜ,bɛᶜ,,,Schuessler2007,63,,,,粺,,bài,bài3,
MiddleChinese-63-Finerice-1,bài3,MiddleChinese,63-Finerice,baiᶜ,baiᶜ,,,Schuessler2007,63,,,,粺,,bài,bài3,
OldChinese-64-Todistribute-1,bān1,OldChinese,64-Todistribute,*prân,prân,,,Schuessler2007,64,,,,班,,bān,bān1,
LateHanChinese-64-Todistribute-1,bān1,LateHanChinese,64-Todistribute,pan,pan,,,Schuessler2007,64,,,,班,,bān,bān1,
MiddleChinese-64-Todistribute-1,bān1,MiddleChinese,64-Todistribute,pwan,pwan,,,Schuessler2007,64,,,,班,,bān,bān1,
OldChinese-65-Variegated-1,bān2,OldChinese,65-Variegated,*prân,prân,,,Schuessler2007,65,,,,斑,,bān,bān2,
LateHanChinese-65-Variegated-1,bān2,LateHanChinese,65-Variegated,pan,pan,,,Schuessler2007,65,,,,斑,,bān,bān2,
MiddleChinese-65-Variegated-1,bān2,MiddleChinese,65-Variegated,pwan,pwan,,,Schuessler2007,65,,,,斑,,bān,bān2,
LateHanChinese-66-Tomovetransport-1,bān3,LateHanChinese,66-Tomovetransport,pɑn,pɑn,,,Schuessler2007,66,,,,搬,,bān,bān3,
MiddleChinese-66-Tomovetransport-1,bān3,MiddleChinese,66-Tomovetransport,puân,puân,,,Schuessler2007,66,,,,搬,,bān,bān3,
OldChinese-67-Boardplank-1,bǎn1,OldChinese,67-Boardplank,*prânɁ,prânɁ,,,Schuessler2007,67,,,,板,板版,bǎn,bǎn1,
LateHanChinese-67-Boardplank-1,bǎn1,LateHanChinese,67-Boardplank,panᴮ,panᴮ,,,Schuessler2007,67,,,,板,板版,bǎn,bǎn1,
MiddleChinese-67-Boardplank-1,bǎn1,MiddleChinese,67-Boardplank,pwanᴮ,pwanᴮ,,,Schuessler2007,67,,,,板,板版,bǎn,bǎn1,
OldChinese-68-Great-1,bǎn2,OldChinese,68-Great,"*prânɁ,*brânɁ ?",prânɁ,,,Schuessler2007,68,,,,昄,,bǎn,bǎn2,
LateHanChinese-68-Great-1,bǎn2,LateHanChinese,68-Great,"panᴮ,banᴮ",panᴮ,,,Schuessler2007,68,,,,昄,,bǎn,bǎn2,
MiddleChinese-68-Great-1,bǎn2,MiddleChinese,68-Great,"pwanᴮ,bwanᴮ",pwanᴮ,,,Schuessler2007,68,,,,昄,,bǎn,bǎn2,
OldChinese-69-Half-1,bàn1,OldChinese,69-Half,*pâns,pâns,,,Schuessler2007,69,,,,半,,bàn,bàn1,
LateHanChinese-69-Half-1,bàn1,LateHanChinese,69-Half,pɑnᶜ,pɑnᶜ,,,Schuessler2007,69,,,,半,,bàn,bàn1,
MiddleChinese-69-Half-1,bàn1,MiddleChinese,69-Half,puânᶜ,puânᶜ,,,Schuessler2007,69,,,,半,,bàn,bàn1,
OldChinese-70-Tocleave-1,pàn,OldChinese,70-Tocleave,*pʰâns,pʰâns,,,Schuessler2007,70,,,,判,判片泮,pàn,bàn1,
LateHanChinese-70-Tocleave-1,pàn,LateHanChinese,70-Tocleave,pʰɑnᶜ,pʰɑnᶜ,,,Schuessler2007,70,,,,判,判片泮,pàn,bàn1,
MiddleChinese-70-Tocleave-1,pàn,MiddleChinese,70-Tocleave,pʰuânᶜ,pʰuânᶜ,,,Schuessler2007,70,,,,判,判片泮,pàn,bàn1,
OldChinese-71-Bankbetweenfieldsseparatefrom-1,pàn,OldChinese,71-Bankbetweenfieldsseparatefrom,*bâns,bâns,,,Schuessler2007,71,,,,畔,,pàn,bàn1,
LateHanChinese-71-Bankbetweenfieldsseparatefrom-1,pàn,LateHanChinese,71-Bankbetweenfieldsseparatefrom,bɑnᶜ,bɑnᶜ,,,Schuessler2007,71,,,,畔,,pàn,bàn1,
MiddleChinese-71-Bankbetweenfieldsseparatefrom-1,pàn,MiddleChinese,71-Bankbetweenfieldsseparatefrom,buânᶜ,buânᶜ,,,Schuessler2007,71,,,,畔,,pàn,bàn1,
OldChinese-72-Discriminatedistinguish-1,"bàn2,biàn",OldChinese,72-Discriminatedistinguish,*brens,brens,,,Schuessler2007,72,,,,釆,,"bàn2,biàn","bàn2,biàn",
